                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.87967,                0.63222,                 1.4913,                0.99401,                      1,                  0.995,                0.65274,                 1.0519,                0.46234,                 1.8218,             0.00042291,             0.00042291,             0.00042291
                    100,                0.84075,                0.59672,                 1.4775,                0.99196,                      1,                  0.995,                0.65495,                 1.0167,                0.43762,                 1.7659,             0.00041021,             0.00041021,             0.00041021
                    101,                0.89909,                0.61662,                  1.516,                0.98578,                0.97525,                  0.995,                0.66006,                 1.0143,                0.45557,                 1.7603,             0.00039752,             0.00039752,             0.00039752
                    102,                0.85622,                0.61696,                 1.4538,                0.95735,                      1,                  0.995,                0.69297,                 1.0408,                0.43367,                 1.7879,             0.00038482,             0.00038482,             0.00038482
                    103,                0.84697,                0.60743,                 1.4591,                0.99149,                      1,                  0.995,                0.70762,                 1.0471,                0.42536,                 1.7837,             0.00037213,             0.00037213,             0.00037213
                    104,                0.84191,                0.58071,                 1.4629,                0.99385,                      1,                  0.995,                0.68194,                 1.0662,                0.45079,                 1.8169,             0.00035943,             0.00035943,             0.00035943
                    105,                0.88109,                0.62907,                 1.4971,                0.99519,                      1,                  0.995,                0.68283,                 1.0368,                0.48643,                   1.81,             0.00034674,             0.00034674,             0.00034674
                    106,                0.86979,                0.59662,                   1.47,                0.99391,                      1,                  0.995,                0.69491,                 1.0059,                0.44288,                 1.7413,             0.00033404,             0.00033404,             0.00033404
                    107,                0.87619,                0.59475,                 1.4871,                0.99331,                      1,                  0.995,                0.67981,                 1.0169,                0.43653,                 1.7223,             0.00032135,             0.00032135,             0.00032135
                    108,                0.85296,                0.58055,                 1.4563,                0.99083,                      1,                  0.995,                0.70954,                0.96076,                0.42201,                   1.66,             0.00030865,             0.00030865,             0.00030865
                    109,                0.83826,                0.59161,                 1.4362,                0.99402,                      1,                  0.995,                0.71578,                0.99864,                0.43431,                 1.6803,             0.00029596,             0.00029596,             0.00029596
                    110,                0.87415,                0.61767,                 1.4834,                0.98461,                      1,                  0.995,                0.69882,                 1.0177,                0.44029,                 1.7032,             0.00028326,             0.00028326,             0.00028326
